Time,Temperature (°C)_wrf,Wind Speed (m/s)_wrf,Wind Direction (°)_wrf
3/30/2019 0:00,15.7213745,0.8624035,218.1473
3/30/2019 1:00,19.785095,0.5780576,105.168335
3/30/2019 2:00,19.475922,1.1864558,94.072296
3/30/2019 3:00,19.176727,0.42767563,351.08902
3/30/2019 4:00,18.877808,0.52579725,52.115112
3/30/2019 5:00,18.787842,0.5839948,248.7123
3/30/2019 6:00,18.566223,0.85144806,158.0498
3/30/2019 7:00,18.440033,0.9343567,151.50403
3/30/2019 8:00,18.126495,1.2270836,249.22737
3/30/2019 9:00,18.21524,0.9121063,199.94511
3/30/2019 10:00,18.421936,0.68176574,152.60083
3/30/2019 11:00,18.488953,0.3659641,232.61584
3/30/2019 12:00,18.473572,0.51789933,161.08508
3/30/2019 13:00,19.386932,0.592829,90.158325
3/30/2019 14:00,20.908295,0.57830185,231.3837
3/30/2019 15:00,23.343048,1.5971262,214.47278
3/30/2019 16:00,25.186829,1.9086816,238.71156
3/30/2019 17:00,26.44751,2.6593955,246.95592
3/30/2019 18:00,26.554504,4.075096,248.53824
3/30/2019 19:00,27.13388,4.567463,255.18158
3/30/2019 20:00,26.82434,4.9916625,253.78983
3/30/2019 21:00,24.576843,5.9880295,259.22894
3/30/2019 22:00,23.829926,4.982026,254.02469
3/30/2019 23:00,22.524353,5.1932216,255.50323
3/31/2019 0:00,21.63147,4.829275,257.93515
3/31/2019 1:00,21.035645,4.9457183,256.7878
3/31/2019 2:00,20.650208,4.6718154,251.42569
3/31/2019 3:00,20.491913,3.8992167,249.35214
3/31/2019 4:00,20.247345,3.1058252,244.18808
3/31/2019 5:00,19.946991,1.0008527,241.46933
3/31/2019 6:00,19.640259,0.6911207,183.53584
3/31/2019 7:00,19.38684,0.9158142,108.80173
3/31/2019 8:00,19.144104,0.9573248,111.54425
3/31/2019 9:00,18.930603,0.62186706,112.96173
3/31/2019 10:00,18.689026,0.60306525,106.58569
3/31/2019 11:00,18.482117,0.8837825,82.27734
3/31/2019 12:00,18.915771,0.33228737,39.29892
3/31/2019 13:00,20.583496,0.777375,193.91698
3/31/2019 14:00,23.047516,1.3100499,191.099
3/31/2019 15:00,25.478485,1.5183511,174.568
3/31/2019 16:00,27.28424,1.6383047,214.65942
3/31/2019 17:00,27.811096,3.2323968,243.19183
3/31/2019 18:00,28.45337,3.7601979,242.02492
3/31/2019 19:00,25.992767,1.509252,307.3297
3/31/2019 20:00,24.047852,0.81620175,333.02994
3/31/2019 21:00,21.521942,0.89738184,39.06537
3/31/2019 22:00,22.640106,0.7062744,120.52112
3/31/2019 23:00,22.11029,1.0543697,76.53967
4/1/2019 0:00,21.684753,0.88101923,74.53125
4/1/2019 1:00,21.361176,0.87126404,227.10493
4/1/2019 2:00,21.085754,1.8128291,229.2148
4/1/2019 3:00,20.816833,0.7112726,196.51883
4/1/2019 4:00,20.584656,1.5051949,243.50647
4/1/2019 5:00,20.58313,0.5024214,201.76646
4/1/2019 6:00,20.3125,2.280808,243.99895
4/1/2019 7:00,20.215729,1.3164198,212.12395
4/1/2019 8:00,20.06369,1.1214567,131.28906
4/1/2019 9:00,19.889893,0.672193,179.17822
4/1/2019 10:00,19.380493,0.59620297,30.69757
4/1/2019 11:00,19.383911,0.5634359,243.07434
4/1/2019 12:00,19.545715,0.7689145,193.1405
4/1/2019 13:00,20.224823,1.0000627,216.1107
4/1/2019 14:00,22.096832,1.2047334,225.97159
4/1/2019 15:00,24.335999,1.0949711,214.42009
4/1/2019 16:00,22.450043,2.9909124,253.73642
4/1/2019 17:00,27.06186,3.0469303,237.64609
4/1/2019 18:00,27.459839,4.390679,249.83664
4/1/2019 19:00,27.489288,3.593031,246.52011
4/1/2019 20:00,25.5177,4.3126984,248.68962
4/1/2019 21:00,21.944,1.9818717,138.63776
4/1/2019 22:00,21.772156,1.3242524,64.6156
4/1/2019 23:00,20.829468,1.4304932,220.73953
4/2/2019 0:00,19.74759,2.4430516,231.041
4/2/2019 1:00,19.931976,0.6552258,136.43402
4/2/2019 2:00,19.831635,0.349247,335.64175
4/2/2019 3:00,19.90509,0.47373423,120.71857
4/2/2019 4:00,19.858398,0.54054403,24.289612
4/2/2019 5:00,19.765717,1.0782864,136.3515
4/2/2019 6:00,19.560364,0.956681,87.298035
4/2/2019 7:00,19.530487,0.20474336,70.12714
4/2/2019 8:00,19.389435,0.041289084,67.98535
4/2/2019 9:00,19.169098,0.20689741,170.1648
4/2/2019 10:00,19.054718,1.3116534,225.74501
4/2/2019 11:00,18.708496,2.1107922,237.34334
4/2/2019 12:00,18.807587,3.0995483,254.39038
4/2/2019 13:00,18.711609,2.3696876,245.67511
4/2/2019 14:00,18.854523,1.8522027,222.10579
4/2/2019 15:00,21.042084,1.6656817,225.33943
4/2/2019 16:00,21.535706,1.0759948,164.94623
4/2/2019 17:00,22.462677,1.397224,99.548035
4/2/2019 18:00,23.19455,1.4634719,73.25604
4/2/2019 19:00,23.441559,1.6443677,341.5203
4/2/2019 20:00,23.986938,1.9837049,55.529297
4/2/2019 21:00,23.652039,1.908532,62.129486
4/2/2019 22:00,23.065155,1.7713492,100.34091
4/2/2019 23:00,21.991241,2.3387182,228.74004
4/3/2019 0:00,20.95639,3.7270694,256.93164
4/3/2019 1:00,20.36969,3.3458061,246.96426
4/3/2019 2:00,19.957977,3.110261,244.17422
4/3/2019 3:00,19.57132,2.4242616,244.80893
4/3/2019 4:00,19.353912,1.4791226,221.10811
4/3/2019 5:00,19.009583,1.3230073,232.34962
4/3/2019 6:00,18.87799,0.6013379,228.03683
4/3/2019 7:00,18.581299,0.45926866,125.2594
4/3/2019 8:00,18.535828,0.7819584,104.75452
4/3/2019 9:00,18.261139,0.4851955,291.62976
4/3/2019 10:00,18.050781,0.6780027,102.15048
4/3/2019 11:00,17.988373,0.6820819,54.568695
4/3/2019 12:00,18.57782,0.32144582,143.83005
4/3/2019 13:00,20.615753,0.43943045,127.967316
4/3/2019 14:00,22.527344,2.3377657,226.52795
4/3/2019 15:00,24.880188,1.990589,226.3868
4/3/2019 16:00,26.420868,1.3581587,217.80128
4/3/2019 17:00,25.91217,1.7632796,119.07654
4/3/2019 18:00,26.976288,3.0808458,228.8385
4/3/2019 19:00,24.54425,2.8245997,244.66312
4/3/2019 20:00,23.764008,3.5078216,244.0378
4/3/2019 21:00,22.751678,2.5169108,242.94617
4/3/2019 22:00,21.72876,0.69140494,141.8227
4/3/2019 23:00,20.790955,0.94175196,230.56876
4/4/2019 0:00,20.167938,0.6564116,243.24405
4/4/2019 1:00,20.108612,2.0710094,227.80846
4/4/2019 2:00,19.454987,3.2424164,243.94656
4/4/2019 3:00,19.34085,3.165187,249.15472
4/4/2019 4:00,19.306396,2.6728323,230.94518
4/4/2019 5:00,18.867767,2.5145786,228.86017
4/4/2019 6:00,18.500305,1.7858664,235.76852
4/4/2019 7:00,18.720825,1.8369653,213.04807
4/4/2019 8:00,18.92154,0.8283748,117.61185
4/4/2019 9:00,18.696869,0.16774936,298.28033
4/4/2019 10:00,18.421204,0.77947766,245.84344
4/4/2019 11:00,18.60257,0.8671833,215.4842
4/4/2019 12:00,18.746216,1.0862441,234.76321
4/4/2019 13:00,18.958801,0.784533,199.89142
4/4/2019 14:00,18.904633,0.8554619,43.833008
4/4/2019 15:00,20.383545,0.57400185,2.0483398
4/4/2019 16:00,23.43808,0.33945268,99.39343
4/4/2019 17:00,25.601501,1.7453524,240.85129
4/4/2019 18:00,26.34967,2.9197276,346.2452
4/4/2019 19:00,26.09134,3.7907162,242.22968
4/4/2019 20:00,22.90628,1.0318015,49.419678
4/4/2019 21:00,21.65799,1.8939651,66.875946
4/4/2019 22:00,20.67804,0.4484716,180.551
4/4/2019 23:00,20.626434,0.8026701,265.80142
4/5/2019 0:00,20.254517,2.1435165,235.78973
4/5/2019 1:00,19.18576,3.3591626,241.56236
4/5/2019 2:00,19.151703,3.5016952,251.88489
4/5/2019 3:00,19.199646,2.4352121,247.55229
4/5/2019 4:00,19.066132,2.1381314,235.81702
4/5/2019 5:00,19.103577,1.1278607,226.32043
4/5/2019 6:00,18.981018,2.4183245,235.48413
4/5/2019 7:00,19.113434,2.9234498,251.93262
4/5/2019 8:00,18.93869,2.1107678,252.1141
4/5/2019 9:00,18.795868,2.3500037,236.64612
4/5/2019 10:00,18.751923,1.7236079,219.69337
4/5/2019 11:00,18.468567,0.5954018,144.01917
4/5/2019 12:00,18.294067,0.27258652,184.5914
4/5/2019 13:00,17.926178,0.3818474,169.77673
4/5/2019 14:00,17.694397,1.0316411,227.8031
4/5/2019 15:00,18.604645,1.1701255,238.1214
4/5/2019 16:00,21.80423,2.3210216,246.62918
4/5/2019 17:00,24.694824,1.9364235,235.20705
4/5/2019 18:00,24.07373,0.65202236,248.65044
4/5/2019 19:00,25.617188,2.719313,240.91663
4/5/2019 20:00,22.080902,3.1389291,18.41681
4/5/2019 21:00,21.599731,1.0733389,219.98416
4/5/2019 22:00,21.217804,3.5121362,241.57074
4/5/2019 23:00,20.315979,3.4485672,240.11679
4/6/2019 0:00,19.88559,3.1471918,239.78708
