Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
3/30/2019 0:00,13,1,339
3/30/2019 1:00,13,1,338
3/30/2019 2:00,13,1,340
3/30/2019 3:00,12,1,339
3/30/2019 4:00,12,1,14
3/30/2019 5:00,12,0,13
3/30/2019 6:00,12,0,331
3/30/2019 7:00,13,0,12
3/30/2019 8:00,14,1,93
3/30/2019 9:00,15,1,345
3/30/2019 10:00,16,1,57
3/30/2019 11:00,17,1,99
3/30/2019 12:00,18,2,102
3/30/2019 13:00,19,1,142
3/30/2019 14:00,17,1,156
3/30/2019 15:00,17,1,143
3/30/2019 16:00,17,2,93
3/30/2019 17:00,17,2,127
3/30/2019 18:00,16,1,97
3/30/2019 19:00,15,1,136
3/30/2019 20:00,14,2,144
3/30/2019 21:00,14,1,93
3/30/2019 22:00,14,1,113
3/30/2019 23:00,14,0,62
3/31/2019 0:00,14,1,61
3/31/2019 1:00,13,1,97
3/31/2019 2:00,13,1,70
3/31/2019 3:00,13,2,100
3/31/2019 4:00,13,1,87
3/31/2019 5:00,13,1,81
3/31/2019 6:00,13,1,76
3/31/2019 7:00,14,1,58
3/31/2019 8:00,16,1,116
3/31/2019 9:00,19,1,129
3/31/2019 10:00,20,2,117
3/31/2019 11:00,20,2,109
3/31/2019 12:00,20,2,108
3/31/2019 13:00,21,2,132
3/31/2019 14:00,20,2,93
3/31/2019 15:00,21,2,83
3/31/2019 16:00,21,2,103
3/31/2019 17:00,18,3,106
3/31/2019 18:00,17,2,160
3/31/2019 19:00,15,1,266
3/31/2019 20:00,15,1,197
3/31/2019 21:00,14,1,118
3/31/2019 22:00,14,1,102
3/31/2019 23:00,14,0,112
4/1/2019 0:00,14,1,87
4/1/2019 1:00,14,0,117
4/1/2019 2:00,14,0,120
4/1/2019 3:00,12,0,66
4/1/2019 4:00,12,0,38
4/1/2019 5:00,11,0,328
4/1/2019 6:00,10,0,142
4/1/2019 7:00,11,1,8
4/1/2019 8:00,13,1,355
4/1/2019 9:00,16,1,9
4/1/2019 10:00,18,1,349
4/1/2019 11:00,19,1,350
4/1/2019 12:00,21,1,108
4/1/2019 13:00,21,2,135
4/1/2019 14:00,22,2,162
4/1/2019 15:00,22,1,259
4/1/2019 16:00,20,1,284
4/1/2019 17:00,19,1,251
4/1/2019 18:00,17,2,212
4/1/2019 19:00,16,1,205
4/1/2019 20:00,15,1,212
4/1/2019 21:00,14,0,220
4/1/2019 22:00,14,1,330
4/1/2019 23:00,13,1,51
4/2/2019 0:00,13,0,291
4/2/2019 1:00,13,0,346
4/2/2019 2:00,12,0,27
4/2/2019 3:00,12,0,36
4/2/2019 4:00,12,0,228
4/2/2019 5:00,12,0,346
4/2/2019 6:00,12,0,18
4/2/2019 7:00,13,0,293
4/2/2019 8:00,13,1,332
4/2/2019 9:00,16,1,341
4/2/2019 10:00,18,1,325
4/2/2019 11:00,18,1,218
4/2/2019 12:00,19,1,252
4/2/2019 13:00,18,1,254
4/2/2019 14:00,16,1,272
4/2/2019 15:00,15,1,216
4/2/2019 16:00,15,0,29
4/2/2019 17:00,15,0,165
4/2/2019 18:00,14,0,78
4/2/2019 19:00,14,1,181
4/2/2019 20:00,13,0,249
4/2/2019 21:00,12,1,10
4/2/2019 22:00,11,0,349
4/2/2019 23:00,10,0,354
4/3/2019 0:00,10,0,4
4/3/2019 1:00,10,0,17
4/3/2019 2:00,10,0,22
4/3/2019 3:00,10,1,48
4/3/2019 4:00,11,0,163
4/3/2019 5:00,11,0,208
4/3/2019 6:00,12,0,237
4/3/2019 7:00,12,1,279
4/3/2019 8:00,13,1,353
4/3/2019 9:00,16,1,324
4/3/2019 10:00,18,1,358
4/3/2019 11:00,20,1,18
4/3/2019 12:00,21,1,303
4/3/2019 13:00,22,1,310
4/3/2019 14:00,21,4,273
4/3/2019 15:00,21,4,264
4/3/2019 16:00,20,3,264
4/3/2019 17:00,19,2,265
4/3/2019 18:00,18,2,266
4/3/2019 19:00,16,1,257
4/3/2019 20:00,16,1,225
4/3/2019 21:00,15,1,233
4/3/2019 22:00,14,1,228
4/3/2019 23:00,14,1,163
4/4/2019 0:00,14,1,189
4/4/2019 1:00,14,1,131
4/4/2019 2:00,13,0,47
4/4/2019 3:00,13,0,158
4/4/2019 4:00,12,0,208
4/4/2019 5:00,13,1,25
4/4/2019 6:00,13,0,311
4/4/2019 7:00,13,1,0
4/4/2019 8:00,14,1,10
4/4/2019 9:00,19,1,133
4/4/2019 10:00,21,1,100
4/4/2019 11:00,21,1,322
4/4/2019 12:00,20,3,269
4/4/2019 13:00,21,2,272
4/4/2019 14:00,20,3,274
4/4/2019 15:00,22,3,249
4/4/2019 16:00,23,2,273
4/4/2019 17:00,22,2,281
4/4/2019 18:00,19,2,259
4/4/2019 19:00,17,1,225
4/4/2019 20:00,16,1,201
4/4/2019 21:00,15,1,190
4/4/2019 22:00,15,0,192
4/4/2019 23:00,15,1,109
4/5/2019 0:00,14,0,358
4/5/2019 1:00,14,0,20
4/5/2019 2:00,14,0,292
4/5/2019 3:00,14,1,265
4/5/2019 4:00,14,0,169
4/5/2019 5:00,13,0,178
4/5/2019 6:00,13,1,326
4/5/2019 7:00,14,0,332
4/5/2019 8:00,15,1,292
4/5/2019 9:00,17,1,238
4/5/2019 10:00,18,1,258
4/5/2019 11:00,21,1,259
4/5/2019 12:00,22,1,286
4/5/2019 13:00,22,2,349
4/5/2019 14:00,21,3,265
4/5/2019 15:00,22,3,268
4/5/2019 16:00,22,4,271
4/5/2019 17:00,19,3,260
4/5/2019 18:00,17,1,226
4/5/2019 19:00,17,2,230
4/5/2019 20:00,16,1,240
4/5/2019 21:00,16,1,249
4/5/2019 22:00,16,1,220
4/5/2019 23:00,15,0,206
4/6/2019 0:00,15,0,207
