Time,Temperature (°C)_wrf,Wind Speed (m/s)_wrf,Wind Direction (°)_wrf
3/30/2019 0:00,26.588501,7.188693,249.0722
3/30/2019 1:00,26.226196,5.7421794,247.10362
3/30/2019 2:00,25.808624,5.5745044,245.38794
3/30/2019 3:00,25.523895,5.448312,245.40689
3/30/2019 4:00,25.594055,5.5283084,247.59555
3/30/2019 5:00,25.484833,5.7198505,248.33344
3/30/2019 6:00,25.320343,5.6676345,248.10263
3/30/2019 7:00,25.306915,5.1851864,243.22406
3/30/2019 8:00,25.267761,4.7724886,240.96973
3/30/2019 9:00,25.074646,3.2806907,241.82304
3/30/2019 10:00,24.714447,2.4532697,215.74507
3/30/2019 11:00,24.625458,2.4960923,208.96414
3/30/2019 12:00,25.86679,3.251879,198.3163
3/30/2019 13:00,27.128265,3.4402544,197.35486
3/30/2019 14:00,29.075043,2.8447309,208.92346
3/30/2019 15:00,29.520935,4.262724,232.24142
3/30/2019 16:00,30.229156,4.747564,234.31479
3/30/2019 17:00,30.643951,5.4432406,234.13712
3/30/2019 18:00,30.869812,6.3069663,233.30638
3/30/2019 19:00,30.336456,6.450454,236.95007
3/30/2019 20:00,29.204193,6.9863253,237.20782
3/30/2019 21:00,28.072845,6.9173107,238.06067
3/30/2019 22:00,27.20639,6.616191,240.98416
3/30/2019 23:00,26.517609,5.952204,240.10852
3/31/2019 0:00,26.261414,6.239438,241.75023
3/31/2019 1:00,26.019684,6.456206,243.4136
3/31/2019 2:00,25.846344,5.9972396,241.36412
3/31/2019 3:00,25.847198,5.305136,244.18353
3/31/2019 4:00,25.8768,5.1560454,244.95665
3/31/2019 5:00,25.779266,4.8438888,247.51901
3/31/2019 6:00,25.714325,4.4173384,242.60242
3/31/2019 7:00,25.660736,3.3585882,250.01321
3/31/2019 8:00,25.632507,3.125489,250.065
3/31/2019 9:00,25.669678,3.3302417,250.62048
3/31/2019 10:00,25.689026,3.177198,237.66846
3/31/2019 11:00,25.49237,2.7888217,237.1052
3/31/2019 12:00,26.267853,3.3937306,236.37463
3/31/2019 13:00,27.307434,4.4013658,233.85117
3/31/2019 14:00,28.689209,4.509799,237.8786
3/31/2019 15:00,29.920807,3.6861124,247.74539
3/31/2019 16:00,31.348907,3.2640789,260.09955
3/31/2019 17:00,32.624786,3.4773393,268.59515
3/31/2019 18:00,32.601776,5.05098,253.77136
3/31/2019 19:00,31.688751,5.671985,247.34677
3/31/2019 20:00,30.752228,6.003598,252.20734
3/31/2019 21:00,29.585876,6.8399835,242.80339
3/31/2019 22:00,27.99762,6.397197,243.22687
3/31/2019 23:00,26.831726,6.0939913,243.10626
4/1/2019 0:00,26.625,5.9763722,244.96481
4/1/2019 1:00,26.489899,6.205068,246.81671
4/1/2019 2:00,26.404419,5.8325434,245.24965
4/1/2019 3:00,26.338287,4.4520855,246.49152
4/1/2019 4:00,26.131042,4.1869645,244.74515
4/1/2019 5:00,26.220306,3.2266188,244.20816
4/1/2019 6:00,26.407806,2.802176,255.54077
4/1/2019 7:00,26.549286,2.8222523,236.58041
4/1/2019 8:00,26.470978,2.675311,219.76334
4/1/2019 9:00,26.228363,1.9175276,230.61829
4/1/2019 10:00,26.079285,1.735928,229.6734
4/1/2019 11:00,25.710236,1.3950589,204.57332
4/1/2019 12:00,25.963318,1.3007576,195.77211
4/1/2019 13:00,27.03592,2.2689366,202.62709
4/1/2019 14:00,28.489288,2.409603,203.81664
4/1/2019 15:00,30.365753,2.8177583,219.87044
4/1/2019 16:00,30.89148,4.0554276,236.48557
4/1/2019 17:00,30.798553,5.4784436,239.55777
4/1/2019 18:00,30.726532,7.24931,241.46082
4/1/2019 19:00,30.097717,7.562899,240.39847
4/1/2019 20:00,29.209167,7.633319,238.9979
4/1/2019 21:00,28.638214,7.296329,241.71988
4/1/2019 22:00,27.324066,6.839341,238.61652
4/1/2019 23:00,26.894196,6.360393,245.66168
4/2/2019 0:00,26.832367,5.469574,237.4313
4/2/2019 1:00,26.616577,5.249773,238.7442
4/2/2019 2:00,26.68512,5.650383,236.12503
4/2/2019 3:00,26.676483,5.346435,238.89507
4/2/2019 4:00,26.611053,4.507934,236.76775
4/2/2019 5:00,26.857208,4.0039477,232.76913
4/2/2019 6:00,26.94571,3.6506517,223.13182
4/2/2019 7:00,26.673553,2.866198,218.46992
4/2/2019 8:00,26.070953,1.6700189,208.51073
4/2/2019 9:00,25.940521,2.4544983,200.74736
4/2/2019 10:00,25.56845,1.6722903,212.55043
4/2/2019 11:00,25.81247,2.2208142,246.28891
4/2/2019 12:00,26.374542,3.2468543,230.4253
4/2/2019 13:00,27.102264,4.9749146,243.76347
4/2/2019 14:00,28.900543,3.6425612,253.51227
4/2/2019 15:00,30.65918,1.7929627,300.1411
4/2/2019 16:00,32.229126,3.6457863,239.8995
4/2/2019 17:00,32.30777,5.832364,237.91095
4/2/2019 18:00,31.976013,6.939745,238.31459
4/2/2019 19:00,31.282745,7.3057904,240.58704
4/2/2019 20:00,30.581299,7.2574234,241.44177
4/2/2019 21:00,29.312897,6.463549,240.11423
4/2/2019 22:00,28.12558,6.1937857,237.25146
4/2/2019 23:00,27.130371,6.0571585,240.09984
4/3/2019 0:00,26.905975,6.020573,241.81625
4/3/2019 1:00,26.79773,5.760942,237.42004
4/3/2019 2:00,26.607635,5.340718,235.65826
4/3/2019 3:00,26.320251,3.370975,237.98273
4/3/2019 4:00,26.104645,2.2043033,266.78912
