Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
1/7/2019 0:00,19.7,1.1,231.2
1/7/2019 1:00,19.9,0.8,80.2
1/7/2019 2:00,19.9,0.5,124
1/7/2019 3:00,19.9,1,84.7
1/7/2019 4:00,19.8,2.2,126.5
1/7/2019 5:00,19.7,1.6,76
1/7/2019 6:00,19.5,1.2,187.3
1/7/2019 7:00,19.9,1.9,85.6
1/7/2019 8:00,20,3.1,64.5
1/7/2019 9:00,21.1,3.4,114.6
1/7/2019 10:00,22.5,3.5,146.2
1/7/2019 11:00,24.2,4.2,213
1/7/2019 12:00,24.7,2.5,199
1/7/2019 13:00,25.2,2.6,188.6
1/7/2019 14:00,24.6,4.1,247.3
1/7/2019 15:00,21.2,2.3,150
1/7/2019 16:00,22,1.1,144.1
1/7/2019 17:00,22,2.8,50.6
1/7/2019 18:00,21.6,2.3,139
1/7/2019 19:00,21.4,2.2,156.1
1/7/2019 20:00,20.7,3.4,238.2
1/7/2019 21:00,20.2,3.5,278.3
1/7/2019 22:00,20,2.9,275
1/7/2019 23:00,19.9,3.6,253.5
1/8/2019 0:00,19.6,3.7,225.8
1/8/2019 1:00,19.2,3.6,246
1/8/2019 2:00,18.7,3.2,165
1/8/2019 3:00,18.8,2.4,57.4
1/8/2019 4:00,18.2,1.2,43.7
1/8/2019 5:00,17.8,1.2,262.4
1/8/2019 6:00,17.4,0.6,174
1/8/2019 7:00,18.1,0.7,80.4
1/8/2019 8:00,20.3,0.7,144.8
1/8/2019 9:00,22.4,0.9,175.2
1/8/2019 10:00,23.9,1.7,140.4
1/8/2019 11:00,24.2,1.3,129.3
1/8/2019 12:00,25.3,1.4,164.6
1/8/2019 13:00,26.6,1.7,216.9
1/8/2019 14:00,26.2,4.2,239.6
1/8/2019 15:00,24.8,4.7,196.6
1/8/2019 16:00,24.7,3,181.3
1/8/2019 17:00,21.6,3.5,141.7
1/8/2019 18:00,18.7,2.6,160.1
1/8/2019 19:00,18.8,1,188.2
1/8/2019 20:00,18.6,1.5,250.4
1/8/2019 21:00,18.1,1.3,123.3
1/8/2019 22:00,17.6,1.7,158.9
1/8/2019 23:00,16.9,1.7,224
1/9/2019 0:00,16.9,1,134.7
1/9/2019 1:00,17,0.6,227.4
1/9/2019 2:00,17.3,1,164
1/9/2019 3:00,16.9,1.4,208.3
1/9/2019 4:00,16.7,1.1,185.1
1/9/2019 5:00,16.8,0.6,179.9
1/9/2019 6:00,16.7,1.3,171
1/9/2019 7:00,17,0.9,196.1
1/9/2019 8:00,18.3,0.7,136.7
1/9/2019 9:00,20.2,0.6,178.7
1/9/2019 10:00,21.9,0.7,185.2
1/9/2019 11:00,23.6,1.2,187
1/9/2019 12:00,24,2,142
1/9/2019 13:00,24.4,2.8,150.1
1/9/2019 14:00,24.7,2.8,157.8
1/9/2019 15:00,23.5,4.1,268.6
1/9/2019 16:00,21.3,5.5,333.7
1/9/2019 17:00,20.5,3.4,312.3
1/9/2019 18:00,19.7,2.6,169.1
1/9/2019 19:00,19.6,2.1,138.9
1/9/2019 20:00,19.6,1.6,148
1/9/2019 21:00,19.4,0.7,187.3
1/9/2019 22:00,19.1,1.2,138.7
1/9/2019 23:00,18.4,1.8,128.9
1/10/2019 0:00,17.7,1.3,150.2
1/10/2019 1:00,17.2,1,272.1
1/10/2019 2:00,16.7,0.8,250.3
1/10/2019 3:00,16.9,0.3,186.6
1/10/2019 4:00,17.2,0.7,95.2
1/10/2019 5:00,17.4,0.6,105.3
1/10/2019 6:00,17.4,0.6,69.9
1/10/2019 7:00,18.3,1.3,88.2
1/10/2019 8:00,19.5,1.9,76.2
1/10/2019 9:00,21.5,1.3,115.6
1/10/2019 10:00,23.4,1.1,148.6
1/10/2019 11:00,24.3,1.5,222.4
1/10/2019 12:00,24.3,2,167.6
1/10/2019 13:00,24.3,2.7,136
1/10/2019 14:00,23.4,4.9,225.9
1/10/2019 15:00,21.3,6.9,333.5
1/10/2019 16:00,21.1,5.8,277.2
1/10/2019 17:00,20.4,4.6,298
1/10/2019 18:00,19.9,5.2,316.4
1/10/2019 19:00,19.3,5.1,294.8
1/10/2019 20:00,19,4.9,196.8
1/10/2019 21:00,18.7,4.2,261
1/10/2019 22:00,18.6,3.4,180.5
1/10/2019 23:00,18.3,2.9,148.5
1/11/2019 0:00,18.1,2.1,290
1/11/2019 1:00,17.6,2.4,230.1
1/11/2019 2:00,17.8,2.6,214.6
1/11/2019 3:00,17.5,2.4,85.8
1/11/2019 4:00,17.4,3.6,168.3
1/11/2019 5:00,17.5,3.3,220.3
1/11/2019 6:00,17.5,3.5,172.4
1/11/2019 7:00,18.4,2,51
1/11/2019 8:00,19.8,1.9,66.3
1/11/2019 9:00,22,1.2,117.2
1/11/2019 10:00,23.9,1.1,133.7
