Time,Temperature_obs,WindSpeed_obs,WindDirection_obs
1/7/2019 0:00,23.37,3.5,60.1
1/7/2019 1:00,23.42,3.51,62.9
1/7/2019 2:00,23.37,3.13,55.15
1/7/2019 3:00,23.4,2.38,52.36
1/7/2019 4:00,23.47,2.69,55.89
1/7/2019 5:00,23.57,2.95,60.15
1/7/2019 6:00,23.62,2.84,59.01
1/7/2019 7:00,24.18,2.11,68.25
1/7/2019 8:00,25.36,2.32,65.74
1/7/2019 9:00,26.42,2.2,67.93
1/7/2019 10:00,27.57,2.21,53.66
1/7/2019 11:00,28.63,2.42,40.66
1/7/2019 12:00,27.92,2.89,51.59
1/7/2019 13:00,27.74,3.51,58.03
1/7/2019 14:00,27.02,4.15,57.96
1/7/2019 15:00,26.63,4.16,49.44
1/7/2019 16:00,25.94,3.44,41.91
1/7/2019 17:00,24.88,3.01,36.36
1/7/2019 18:00,24.35,2.37,37.03
1/7/2019 19:00,24.24,2.25,31.74
1/7/2019 20:00,24.15,2.61,39.03
1/7/2019 21:00,24.09,2.43,38.76
1/7/2019 22:00,24.01,2.27,40.61
1/7/2019 23:00,23.94,2.34,52.08
1/8/2019 0:00,23.71,2.22,43.29
1/8/2019 1:00,23.82,2.32,55.22
1/8/2019 2:00,24.05,2.27,62.2
1/8/2019 3:00,23.55,2.28,64.62
1/8/2019 4:00,23.52,3.52,63.51
1/8/2019 5:00,23.8,2.18,69.11
1/8/2019 6:00,23.69,1.83,79.31
1/8/2019 7:00,24.09,2.42,108.63
1/8/2019 8:00,24.77,2.68,111.73
1/8/2019 9:00,26.07,2.23,112.86
1/8/2019 10:00,27.3,1.89,74.56
1/8/2019 11:00,28.23,2.69,49.28
1/8/2019 12:00,27.78,3.91,57.23
1/8/2019 13:00,27.57,4.23,49.57
1/8/2019 14:00,26.87,4.86,46.02
1/8/2019 15:00,26.48,4.24,47.05
1/8/2019 16:00,25.98,3.99,43.74
1/8/2019 17:00,24.97,3.7,39.78
1/8/2019 18:00,24.39,3.34,40.07
1/8/2019 19:00,24.2,3.4,38.54
1/8/2019 20:00,24.23,3.76,43.53
1/8/2019 21:00,24.16,4.16,53.03
1/8/2019 22:00,24.06,4.72,56.81
1/8/2019 23:00,23.84,4.88,59.22
1/9/2019 0:00,23.71,4.68,58.99
1/9/2019 1:00,23.56,4.08,58.84
1/9/2019 2:00,23.57,3.56,62.79
1/9/2019 3:00,23.56,3.11,62.56
1/9/2019 4:00,23.73,2.52,64.09
1/9/2019 5:00,23.49,1.74,95.82
1/9/2019 6:00,23.49,1.57,122.6
1/9/2019 7:00,23.26,2.41,124.28
1/9/2019 8:00,23.21,2.04,123.96
1/9/2019 9:00,24.13,2.14,98.85
1/9/2019 10:00,24.76,2.12,71.91
1/9/2019 11:00,25.65,2.85,55.33
1/9/2019 12:00,26.59,3.65,56.24
1/9/2019 13:00,26.93,4.25,56.05
1/9/2019 14:00,26.68,4.09,47.48
1/9/2019 15:00,26.41,3.51,43.54
1/9/2019 16:00,25.52,3.72,47.76
1/9/2019 17:00,24.72,2.97,54.76
1/9/2019 18:00,24.39,2.45,59.6
1/9/2019 19:00,24.27,2.41,49.16
1/9/2019 20:00,24.04,2.04,31.21
1/9/2019 21:00,23.97,2.22,35.88
1/9/2019 22:00,23.98,2.23,45.62
1/9/2019 23:00,23.89,2.52,38.57
1/10/2019 0:00,23.82,2.88,55.18
1/10/2019 1:00,23.63,2.96,61.12
1/10/2019 2:00,23.55,1.9,63.66
1/10/2019 3:00,23.48,2.02,65.13
1/10/2019 4:00,23.48,1.91,66.51
1/10/2019 5:00,23.38,1.49,78.57
1/10/2019 6:00,23.45,0.62,111.57
1/10/2019 7:00,24.02,1.37,88.85
1/10/2019 8:00,24.78,1.82,69.72
1/10/2019 9:00,26.21,2.37,46.1
1/10/2019 10:00,27.62,2.3,39.71
1/10/2019 11:00,28,3.03,43.47
1/10/2019 12:00,27.41,3.96,50.62
1/10/2019 13:00,26.83,3.94,45.35
1/10/2019 14:00,26.93,3.54,41.94
1/10/2019 15:00,26.46,3.04,30.75
1/10/2019 16:00,25.9,3.33,29.6
1/10/2019 17:00,25.2,2.59,24.85
1/10/2019 18:00,24.39,2.55,20.31
1/10/2019 19:00,24.2,2.48,16.96
1/10/2019 20:00,23.97,2.47,22
1/10/2019 21:00,23.77,2.52,27.85
1/10/2019 22:00,23.89,2.75,32.7
1/10/2019 23:00,23.67,3.06,30.22
1/11/2019 0:00,23.66,3.1,32.33
1/11/2019 1:00,23.66,2.82,34.15
1/11/2019 2:00,23.5,2.95,34.54
1/11/2019 3:00,23.49,3.16,36.15
1/11/2019 4:00,23.46,3.11,39.59
1/11/2019 5:00,23.44,2.86,33.87
1/11/2019 6:00,23.49,3.22,38.18
1/11/2019 7:00,24.17,3.66,43.78
1/11/2019 8:00,25.14,4.54,57.09
1/11/2019 9:00,25.76,4.42,51.52
1/11/2019 10:00,26.21,4.16,59.34
1/11/2019 11:00,26.86,3.66,53.09
1/11/2019 12:00,27.26,3.72,47.73
1/11/2019 13:00,27.63,3.48,42.22
1/11/2019 14:00,27.47,4.04,37.67
1/11/2019 15:00,26.91,4.2,32.56
1/11/2019 16:00,26.33,3.75,26.69
1/11/2019 17:00,25.5,3.2,34
1/11/2019 18:00,24.84,2.76,32.26
1/11/2019 19:00,24.51,3.09,30.13
1/11/2019 20:00,24.47,3.75,38.91
1/11/2019 21:00,24.28,3.72,38.22
1/11/2019 22:00,24.28,3.73,37.27
1/11/2019 23:00,24.18,3.68,37.78
1/12/2019 0:00,24.25,3.5,43.52
1/12/2019 1:00,24.13,3.85,43.53
1/12/2019 2:00,24.12,3.66,46.47
1/12/2019 3:00,24.06,3.71,52.29
1/12/2019 4:00,24.11,4.3,61.03
1/12/2019 5:00,24.02,3.25,65.62
1/12/2019 6:00,23.86,1.66,67.7
1/12/2019 7:00,24.25,1.67,73.99
1/12/2019 8:00,25.13,2.52,76.25
1/12/2019 9:00,26.77,2.93,54.93
1/12/2019 10:00,27.25,3.86,59.47
1/12/2019 11:00,27.58,4.69,57.12
1/12/2019 12:00,28.04,4.1,54.9
1/12/2019 13:00,27.48,4.64,53.51
